"TimeGenerated","MacAddress","ResourceId","Rule","TimeWhenOcurred","SourceIP","DestinationIp","SourcePort","DestinationPort","Protocol","TrafficFlow","TrafficDecision","FlowState","PacketsSourceToDestination","BytessentSourceToDestination","PacketsDestinationToSource","BytessentDestinationToSource"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","DefaultRule_AllowVnetOutBound","1/09/2021 7:00:05 AM","10.20.19.71","34.198.124.168","41592","80","T","O","A","C","5","338","5","1314"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","DefaultRule_AllowVnetOutBound","1/09/2021 7:00:19 AM","10.20.19.71","23.202.230.89","35842","80","T","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionAppNTP","1/09/2021 7:00:05 AM","10.20.19.71","10.30.20.6","123","123","U","O","A","C","1","90","1","90"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionAppNTP","1/09/2021 7:00:35 AM","10.20.19.71","10.30.20.5","123","123","U","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 6:59:53 AM","10.20.19.71","10.20.19.6","49434","443","T","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","44690","443","T","O","A","C","8","1100","8","5263"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","49434","443","T","O","A","C","1","74","9","5440"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","49260","443","T","O","A","C","8","1100","8","5263"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","44314","443","T","O","A","C","1","74","2","140"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","46318","443","T","O","A","C","9","2599","9","5440"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","49302","443","T","O","A","C","9","2594","9","5440"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","48604","443","T","O","A","C","9","2599","9","5440"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:05 AM","10.20.19.71","10.20.19.6","48934","443","T","O","A","C","9","2599","9","5440"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:11 AM","10.20.19.71","10.20.19.6","49434","443","T","O","A","E","0","0","0","0"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:13 AM","10.20.19.71","10.20.19.6","49808","443","T","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:16 AM","10.20.19.71","10.20.19.6","49870","443","T","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:27 AM","10.20.19.71","10.20.19.6","44314","443","T","O","A","E","0","0","0","0"
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:29 AM","10.20.19.71","10.20.19.6","50524","443","T","O","A","B","","","",""
"1/09/2021 7:00:41 AM","0022480FD8FF","/SUBSCRIPTIONS/C72448E0-7DCD-4BF4-ADFC-EC46F8810BC4/RESOURCEGROUPS/RG-PRD-OCCUB-SERVICES-001/PROVIDERS/MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/NSG-PRD-OCCUB-APP-001","UserRule_AccellionWebToApp","1/09/2021 7:00:29 AM","10.20.19.71","10.20.19.6","50584","443","T","O","A","B","","","",""
